,Resenha,Rating,Resenha Modificada
10,"FÃZASSA
Fui apresentada a Terra média aos 13 anos e definitivamente foi um divisor de águas na minha vida. De fato é uma leitura maçante e em alguns pontos prolixa mas é incrível!!! Tolkien é meu neném hahahahah",5,fãzass apresent terr méd ano definitiv divi águ vid fat leit maç algum pont prolix incr tolkien neném hahahahah
11,"Uma leitura muito rica em detalhes, Tolkien criou um mundo extraordinário.",4,leit ric detalh tolkien cri mund extraordin
12,"Tolkien realmente cria um universo mágico e inspira toda e qualquer nova obra sobre a temática. Aos amantes de aventuras e magia, recomendo.",4,tolkien real cri univers mágic insp tod qualqu nov obr sobr temá am avent mag recom
13,"Maravilhosooooo! Conhecer as obras do Tolkien foi uma das boas surpresas desse ano. Eu já tinha ouvido falar de senhor dos anéis mas nunca tinha tido a mínima vontade de conhecer, até que eu assisti os filmes e me encantei. Ao ler o Hobbit e agora Senhor dos Anéis eu vi a grandiosidade dessas obras. O livro é sensacional, e dentre alguns motivos temos: os personagens são muito bem construídos e não consigo me decidir quais dentre o livro são meus favoritos, a história é extremamente envolvente e tinham capítulos em que eu estava totalmente eufórica, e a escrita do Tolkien é perfeita, entendo o motivo de muitas pessoas acharem cansativa, porém toda a descrição feita por ele é o que realmente imerte os leitores na terra média e nós faz acreditar que realmente existe. Enfim, essa provavelmente é a maior resenha que já fiz mas precisar destacar a grandiosidade dessa obra. Amei muito!",5,maravilhosoooo conhec obr tolkien boa surpr dess ano ouv fal senh anel nunc tid mín vontad conhec assist film encant ler hobbit agor senh anel vi grandios dess obr livr sensac dentr algum motiv person bem constru consig decid qual dentr livr favorit histór extrem envolv capítul total eufór escrit tolkien perfeit ent motiv muit pesso ach cans porém tod descr feit real imert leit terr méd faz acredit real exist enfim prova mai resenh fiz precis destac grandios dess obr ame
14,"nem todos os que vagueiam estão perdidos
nem acredito que finalmente, após 3 meses de leitura, acabei o primeiro livro da trilogia!

livro muito bom, a escrita me conduziu à terra média de forma espetacular. confesso que por muitos momentos achei um pouco cansativo por ter muita descrição dos cenários, mas isso só enriqueceu a leitura. amei muito, super recomendo e não vejo a hora de continuar a história!",5,tod vague perd acredit final após mes leit acab prim livr trilog livr bom escrit conduz terr méd form espetacul confess muit moment ach pouc cans ter muit descr cen enriquec leit ame sup recom vej hor continu histór
15,"Não vou mentir: foi difícil
Eu comecei a ler livros de fato em março de 2019 e ainda me considero um novo leitor, e como nunca li a Saga do Anel, decidi começar pelo Hobbit, que adorei e agora prossegui para a trilogia principal. Já tinha ouvido antes que o Tolkien era meio prolixo e a verdade é que é MUITO. Culpo um pouco meu déficit de atenção, mas vezes e vezes me perdi em descrição de barrancos enquanto esperava a história andar. No fim, é boa e instigante, mas até a metade desse primeiro livro, o interesse em continuar quase se foi. Espero que a história não se enrole tanto nos próximos, mas vou dar um tempo maior entre eles e colocar outras leituras em dia na frente.",4,vou ment difícil comec ler livr fat març aind consider nov leit nunc li sag anel decid começ hobbit ador agor prossegu trilog princip ouv ant tolkien mei prolix verdad culp pouc déficit atenç vez vez perd descr barranc enquant esper histór and fim boa instig metad dess prim livr inter continu quas esper histór enrol tant próx vou dar temp mai coloc outr leit dia frent
16,"Leitura cativante e complexa!
Não sei nem o que dizer deste livro que me cativou. Eu amo todo o universo de Tolkien e O Senhor Dos Anéis é a minha trilogia favorita. É um livro ótimo pra que ama leituras longas, complexas e, sobretudo, emocionante!",5,leit cativ complex sei diz dest livr cativ amo tod univers tolkien senh anel trilog favorit livr ótim pra ama leit long complex sobretud emocion
17,"O hobbit 2.0 kkkkkkk
Pra quem gostou de O Hobbit aconselho que dê uma chance para O Senhor dos Anéis, porque eu achei o desenvolvimento da história relativamente parecido. É aquele mesmo esquema de: em cada capítulo tem um acontecimento que vai ser ""resolvido"" no decorrer deste.
Apesar disso, como já é conhecido por muita gente, esse livro é MUITO mais detalhado e sim, fica naquele lenga, lenga meio enrolado em certas partes e isso me fez querer desistir do livro em alguns momentos. Mas tirando esse detalhe é perfeitoooo!!! Cada caminho que é seguido pelos personagens e muito mais rico e até mais emocionante que em O Hobbit.",5,hobbit kkkkkkk pra gost hobbit aconselh dê chanc senh anel porqu ach desenvolv histór relativ parec esquem cad capítul acontec vai resolv decorr dest apes diss conhec muit gent livr detalh sim fic naquel leng leng mei enrol cert part fez quer desist livr algum moment tir detalh perfeitooo cad caminh segu person ric emocion hobbit
18,"Mesmo sendo um fã dos filmes, e tendo adorado ?O Hobbit?, devo admitir que o início desse livro é bem arrastado e exige bastante perseverança. No entanto, depois da metade, a leitura flui muito melhor e o livro mostra porque é considerado uma das maiores obras de fantasia da história.",5,send fã film tend ador hobbit dev admit iníci dess livr bem arrast exig bast perseveranç entant metad leit flu melhor livr mostr porqu consider mai obr fantas histór
19,"A Sociedade do Anel - J. R. R. Tolkien
A Sociedade do Anel é o primeiro livro da trilogia ?O senhor dos anéis?.
A história contada neste livro começa no Condado, uma vila de hobbits, onde temos o primeiro contato com o portador do anel, também visto como o principal herói da história, Frodo Bolseiro.
O fabuloso anel mágico que possui o poder de tornar o portador invisível foi dado a Frodo como herança do seu tio, Bilbo Bolseiro. Só mais tarde Frodo descobre, pelo poderoso e sábio mago, Gandalf, o cinzento -amigo fiel que desempenha um papel muito importante na história- a origem do anel e que o mesmo pertence ao um lorde maléfico, Sauron, que perdeu há muito tempo. Sauron sabe que o anel foi encontrado e de imediato envia seus terríveis servos, os espectros do anel, para recuperá-lo.
Frodo tendo conhecimento sobre os fatos, parte em uma longa jornada em busca de um conselho de sábios que poderá saber o que fazer com o anel. É neste conselho que Frodo se voluntaria para ser o portador do anel, tornando-o responsável pela destruição do anel; com esta decisão o conselho forma uma comitiva para acompanhar Frodo nesta nova aventura, comitiva que fica conhecida como A Sociedade do Anel.
A Sociedade do Anel é formada por: quatro hobbits (Frodo, Sam, Merry e Pippin), um elfo (Legolas), dois homens (Aragorn e Boromir), um anão (Gimli) e um mago (Gandalf).
Este livro é incrivelmente mágico e cheio de detalhes. Entretanto, a escrita é bastante rebuscada, por esse motivo acho de extrema importância um dicionário como companheiro.",0,sociedad anel tolkien sociedad anel prim livr trilog senh anel histór cont nest livr começ cond vil hobbit ond prim contat port anel vist princip heró histór frod bols fabul anel mágic possu pod torn port invis dad frod heranç tio bilb bols tard frod descobr poder sábi mag gandalf cinzent fiel desempenh papel import orig anel pertenc lord maléf sauron perd temp sauron sab anel encontr imediat env terr serv espectr anel frod tend conhec sobr fat part long jorn busc conselh sábi pod sab faz anel nest conselh frod volunt port anel respons destru anel decis conselh form comi acompanh frod nest nov avent comi fic conhec sociedad anel sociedad anel form quatr hobbit frod sam merry pippin elf legol doi hom aragorn borom anã giml mag gandalf livr incri mágic chei detalh entretant escrit bast rebusc motiv ach extrem import dicion companh
20,"Top
Só vou resenhar por causa do desafio.
Infelizmente tem mínimo de linhas",5,top vou resenh caus desafi infeliz mín linh
21,"Genialmente brilhante !!
Um dos livros mais lindos que já vi !! E não me refiro apenas a fantástico edição da Harper Collins Brasil,que vem vem capa preta, com anéis dourados na capa, runas escritas em alto relevo, páginas amareladas e finas como de uma bíblia, sem falar das gravuras e escritas elficas. Mas me refiro ao texto, que me fez querer economizar as páginas para que nunca chegasse ao fim do livro, mesmo eu já tendo assistido aos filmes por dezenas de vezes, em momento algum me senti entediado com a repetição da estória. O livro é grandioso tanto quanto sua fama, com muitos personagens mais todos bem postados, com muitas ambientações mas nunca estamos perdidos. Carregarei esse livro (que na verdade é um box) comigo com muito carinho, contarei eles aos meus filhos, indicarei sua leitura a todos meus amigos, farei todos se apaixonarem por ele com ome apaixonei. Só um ponto negativo a se notar (exclusivo dessa edição), algumas traduções parecem estranhas ou equivocadas, como ""orques"", e nome dados a alguns personagens que diferem do usual, e até mesmo alguns poemas/músicas que soam diferente do já conhecido. Mas nada de muito dramático com isso, já que e no início do livro ele trás todas as informações sobre tais traduções e no final, trás todos os versos originais escritos pelo Tolkien (em inglês).

-Nem todos os que vageam estão perdidos. (poema a Aragorn)",5,gen brilh livr lind vi refir apen fant ediç harp collim brasil vem vem cap pret anel dour cap run escrit alt relev págin amarel fin bíbl fal grav escrit elfic refir text fez quer econom págin nunc cheg fim livr tend assist film dezen vez moment algum sent entedi repet estóri livr grandi tant quant fam muit person tod bem post muit ambient nunc perd carreg livr verdad box comig car cont filh indic leit tod amig far tod apaixon ome apaixon pont nega not exclus dess ediç algum traduç parec estranh equivoc orqu nom dad algum person dif usual algum so difer conhec nad dramá iníci livr trá tod inform sobr tal traduç final trá tod vers orig escrit tolkien ingl tod vage perd poem aragorn
22,"Aventura do Hobbit
História do inicio da aventura do pequeno hobbit Frodo Bolseiro pelas terras médias para destruir um poderoso anel, criado pelo ser das trevas Sauron para tomar o mundo, com a ajuda dos amigos do Condado e dos que faz em sua jornada.

Assim é formada por três hobbits, Sam, Merry e Pppin, um anão, Gimli, um elfo, Legolas, dois humanos, Boromir e Aragorn e um mago, Gandalf, a sociedade do anel, para acompanhar e proteger Frodo até ele chegar na montanha de perdição e destruir o Um Anel.

Muitas coisa acontecem ao logo do caminho, mas será que Frodo conseguirá chegar a Mordor e destruir o anel para salvar toda o mundo e todos os seus amigos.",5,avent hobbit histór inici avent pequen hobbit frod bols terr méd destru poder anel cri trev sauron tom mund ajud amig cond faz jorn assim form trê hobbit sam merry pppin anã giml elf legol doi human borom aragorn mag gandalf sociedad anel acompanh proteg frod cheg montanh perd destru anel muit cois acontec log caminh frod conseguir cheg mord destru anel salv tod mund tod amig
23,"O início do épico
Logo depois de O Hobbit, fui sedento em busca de mais coisa do Tolkien e cheguei aqui. Não senti a leitura complicada por motivos de hype na época, mas hoje reconheço que a leitura pode se tornar cansativa, ainda que eu ache que vale super a pena dar uma chance para esse épico.",5,iníci épic log hobbit sedent busc cois tolkien cheg aqu sent leit complic motiv hyp époc hoj reconheç leit pod torn cans aind ach val sup pen dar chanc épic
24,"O universo mais bem detalhado e rico em detalhes que eu já tive o prazer de ler. Não tenho palavras suficientes para explicar a excelência do Tolkien. Uma história que desde o começo já se mostra complexa e bem entrelaçada com passado, distintos presentes e um único futuro e sina: o Um Anel.",5,univers bem detalh ric detalh praz ler palavr sufici explic excel tolkien histór desd começ mostr complex bem entrelaç pass distint pres únic futur sin anel
25,"FÃZASSA
Fui apresentada a Terra média aos 13 anos e definitivamente foi um divisor de águas na minha vida. De fato é uma leitura maçante e em alguns pontos prolixa mas é incrível!!! Tolkien é meu neném hahahahah",5,fãzass apresent terr méd ano definitiv divi águ vid fat leit maç algum pont prolix incr tolkien neném hahahahah
26,"Uma leitura muito rica em detalhes, Tolkien criou um mundo extraordinário.",4,leit ric detalh tolkien cri mund extraordin
27,"Tolkien realmente cria um universo mágico e inspira toda e qualquer nova obra sobre a temática. Aos amantes de aventuras e magia, recomendo.",4,tolkien real cri univers mágic insp tod qualqu nov obr sobr temá am avent mag recom
28,"Maravilhosooooo! Conhecer as obras do Tolkien foi uma das boas surpresas desse ano. Eu já tinha ouvido falar de senhor dos anéis mas nunca tinha tido a mínima vontade de conhecer, até que eu assisti os filmes e me encantei. Ao ler o Hobbit e agora Senhor dos Anéis eu vi a grandiosidade dessas obras. O livro é sensacional, e dentre alguns motivos temos: os personagens são muito bem construídos e não consigo me decidir quais dentre o livro são meus favoritos, a história é extremamente envolvente e tinham capítulos em que eu estava totalmente eufórica, e a escrita do Tolkien é perfeita, entendo o motivo de muitas pessoas acharem cansativa, porém toda a descrição feita por ele é o que realmente imerte os leitores na terra média e nós faz acreditar que realmente existe. Enfim, essa provavelmente é a maior resenha que já fiz mas precisar destacar a grandiosidade dessa obra. Amei muito!",5,maravilhosoooo conhec obr tolkien boa surpr dess ano ouv fal senh anel nunc tid mín vontad conhec assist film encant ler hobbit agor senh anel vi grandios dess obr livr sensac dentr algum motiv person bem constru consig decid qual dentr livr favorit histór extrem envolv capítul total eufór escrit tolkien perfeit ent motiv muit pesso ach cans porém tod descr feit real imert leit terr méd faz acredit real exist enfim prova mai resenh fiz precis destac grandios dess obr ame
29,"nem todos os que vagueiam estão perdidos
nem acredito que finalmente, após 3 meses de leitura, acabei o primeiro livro da trilogia!

livro muito bom, a escrita me conduziu à terra média de forma espetacular. confesso que por muitos momentos achei um pouco cansativo por ter muita descrição dos cenários, mas isso só enriqueceu a leitura. amei muito, super recomendo e não vejo a hora de continuar a história!",5,tod vague perd acredit final após mes leit acab prim livr trilog livr bom escrit conduz terr méd form espetacul confess muit moment ach pouc cans ter muit descr cen enriquec leit ame sup recom vej hor continu histór
30,"Depois de um mês finalmente terminei hahaha a história é maravilhosa, mas eu nunca demorei tanto em um livro (já li maiores em menos da metade do tempo), o ponto aqui é que exige muita paciência e muita concentração. Eu, particularmente, não estou acostumada a esse tipo de leitura, muitas vezes tive que voltar e ler todo o parágrafo de novo, porque a mínima distração já atrapalhou todo meu entendimento.
Mas valeu muito a pena! A história é riquissima em detalhes, te faz imergir nas cenas, te faz amar (ou odiar) os personagens... enfim, minha primeira experiência com Tolkien foi ótima, pretendo continuar a série depois de um descanso ?",5,mê final termin hahah histór maravilh nunc demor tant livr li mai menos metad temp pont aqu exig muit paci muit concentr particul acostum tip leit muit vez volt ler tod parágraf nov porqu mín distr atrapalh tod entend val pen histór riquiss detalh faz imerg cen faz am odi person enfim prim experi tolkien ótim pret continu séri descans
31,"Perfeito!
O livro é perfeito, uma narrativa que no começo achei que seria cansativa, porém quanto mais eu lia mas eu queria continuar lendo. Apenas fico triste com a quantidade de coisas que nem chegaram a ser citadas no filme, mas isso não muda o fato de que o filme também é maravilhoso!",5,perfeit livr perfeit narr começ ach cans porém quant lia quer continu lend apen fic trist quant cois cheg cit film mud fat film maravilh
32,"Decepcionado
Li O Hobbit há cerca de dois anos, e desde então aguardei pela oportunidade de iniciar a Trilogia clássica do Tolkien achando que a experiência seria igualmente sensacional. No entanto, me deparei com um livro que contém centenas de páginas e boa parte é narração de Frodo e companhia subindo e descendo colinas, acendendo fogueiras, musicalizando histórias (onde boa parte é de difícil compreensão), etc.
Não é de todo mal, tem seu valor: os personagens e a criação de mundo são muito bem feitos, mas é descritivo demais, de modo que gera o efeito contrário ao de imersão à obra.

É uma pena que comigo não tenha funcionado pois esperava que entrasse direto para os meus favoritos da vida.",3,decepcion li hobbit cerc doi ano desd ent aguard oportun inici trilog cláss tolkien ach experi igual sensac entant dep livr contém centen págin boa part narr frod companh sub desc colin acend fogu musicaliz histór ond boa part difícil compreens etc tod mal val person cri mund bem feit descri demal mod ger efeit contr imers obr pen comig funcion poi esper entr diret favorit vid
33,"O começo
Escrita característica de tolkien, pode ser um pouco arrastada por conta da descrição das coisas principalmente no começo, mas me empolguei a partir de Valvenda. Já vi os filmes porém o universo se expandiu muito nessa primeira leitura.",4,começ escrit caracterís tolkien pod pouc arrast cont descr cois princip começ empolg part valvend vi film porém univers expand ness prim leit
34,"Impressionante! Uma obra prima!
Eu sou louco por O Senhor dos Anéis e apesar de saber sobre tudo e ter lido diversos momentos separados essa é a primeira vez em que leio O Senhor Dos Anéis de verdade. E cara! Que obra emocionante e marcante! Tolkien é o gênio dos gênios e a escrita dele é unica! Confesso q fiquei bastante receoso com os comentários de que a escrita dele é mais arrastada e tal mas sinceramente não achei isso, pelo menos não no livro todo talvez apenas na parte do Tom Bombadill. De resto, para mim, foi bastante frenético! Principalmente depois que a comitiva sai de Valfenda. Enfim, livro atemporal onde me apaixonei perdidamente pelo universo de Tolkien( mais ainda do que eu já era apaixonado) e estou super ansioso para ler As Duas Torres!",5,impression obr prim louc senh anel apes sab sobr tud ter lid divers moment separ prim vez lei senh anel verdad car obr emocion marc tolkien gêni gêni escrit unic confess q fiq bast rece coment escrit arrast tal sinc ach menos livr tod talv apen part tom bombadill rest mim bast frené princip comi sai valfend enfim livr atempor ond apaixon perdid univers tolkien aind apaixon sup ansi ler dua torr
35,"Incrível!
Admito que demorei muito para ler esse livro, precisa de paciência. O livro tem muitos detalhes, o que deixa a experiência mais imersiva. Essa riqueza de detalhes te faz visualizar melhor as cenas, mas acaba deixando a leitura um pouco pesada e cansativa. Tirando isso, o livro é incrível, Tolkien é um gênio, todo o universo que ele criou, todos essas informações... parece até impossível para um ser humano normal hahaha eu adoro fantasia e Senhor dos Anéis é leitura obrigatória!!",5,incr admit demor ler livr precis paci livr muit detalh deix experi imers riqu detalh faz visual melhor cen acab deix leit pouc pes cans tir livr incr tolkien gêni tod univers cri tod inform parec imposs human norm hahah ador fantas senh anel leit obrigatór
36,"Clássico é classico
É bastante descritivo e tem ritmo lento. Alguns momentos que a leitura avança, mas rapidamente. Tudo colabora para o envolvimento do leitor na história, o Tolkien só estava preparando o terreno, sem pressa, para construir a Terra-média.
Tô completamente rendida a esse universo.",5,cláss class bast descri ritm lent algum moment leit avanç rapid tud colab envolv leit histór tolkien prepar terren press constru tô complet rend univers
37,"É um livro em que tudo demora pra acontecer. Eu demorei pra me familiarizar com a escrita, demorei pra me conectar com os personagens e demorei pra conseguir entrar na história, porém o momento em que eles chegaram em Valfenda foi um ponto de virada pra mim, a partir dessa parte eu entendi a proposta do livro e peguei o ritmo da leitura. Um livro muito bom que merece todo o reconhecimento que tem e que me deixou bem animada para as suas continuações.",4,livr tud dem pra acontec demor pra familiar escrit demor pra conect person demor pra consegu entr histór porém moment cheg valfend pont vir pra mim part dess part entend propost livr peg ritm leit livr bom merec tod reconhec deix bem anim continu
38,"A leitura lenta e demorada, que me parece que poderia ter sido repartido em mais de um livro mas como li em áudio fazendo outras coisas foi de boas.
Amo histórias de aventuras e esse livro conta cada detalhe dos locais dando maior abertura para imaginar como tudo se passa e as paisagens.
Os nomes dos personagens são marcantes e gosto disso pois fica fácil de distinguir quem é quem.
Irei continuar a leitura.",0,leit lent demor parec pod ter sid repart livr li áudi faz outr cois boa amo histór avent livr cont cad detalh local dand mai abert imagin tud pass pais nom person marc gost diss poi fic fácil distingu ire continu leit
